Name,Story,Genres,Certificate
Titans,"Titans follows young heroes from across the DC Universe as they come of age and find belonging in a gritty take on the classic Teen Titans franchise. Dick Grayson and Rachel Roth, a special young girl possessed by a strange darkness, get embroiled in a conspiracy that could bring Hell on Earth. Joining them along the way are the hot-headed Starfire and lovable Beast Boy. Together they become a surrogate family and team of heroes.","Action ,Adventure ,Crime ,Drama ,Fantasy ,Sci-Fi",TV-MA
True Detective,"In 2012, Louisiana State Police Detectives Rust Cohle and Martin Hart are brought in to revisit a homicide case they worked in 1995. As the inquiry unfolds in present day through separate interrogations, the two former detectives narrate the story of their investigation, reopening unhealed wounds, and drawing into question their supposed solving of a bizarre ritualistic murder in 1995. The timelines braid and converge in 2012 as each man is pulled back into a world they believed they'd left behind. In learning about each other and their killer, it becomes clear that darkness lives on both sides of the law.","Crime ,Drama ,Mystery ,Thriller",TV-MA
FBI,"Procedural drama about the inner workings of the New York office of the FBI, bringing to bear all the Bureau's skills, intellect and mind-blowing technology to keep New York and the country safe.","Action ,Crime ,Drama ,Mystery ,Thriller",TV-14
Gilmore Girls,"Thirty-two year old single mom, Lorelai, lives with her teenage daughter Rory in the small town of Stars Hollow, Connecticut, with crazy neighbors and many ups and downs.","Comedy ,Drama",TV-PG
Succession,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",Drama,TV-MA
Bones,"Brilliant, but socially inept, forensic anthropologist Dr. Temperence Brennan works at the Jeffersonian Institute in Washington DC. After consulting for him on a FBI case, she is approached by cocky yet charming Former Army Ranger turned Special Agent, Seeley Booth to help the Bureau solve crimes by identifying human remains that are too far gone for standard FBI forensic investigations. Brennan's empirical, literal view of the world causes friction with Booths emotive, instinctive attitude creating a volatile relationship. However as their case load increases the symbiotic partnership produces results and with the support of Brennan's Squint Squad, murderers, past and present should be on the look out.","Comedy ,Crime ,Drama ,Mystery ,Romance",TV-14
Chicago Fire,"The story of firefighters in Chicago, both on a personal and professional level","Action ,Drama",TV-14
Chicago P.D.,"District 21 of the Chicago Police Department is made up of two distinctly different groups. There are the uniformed cops who patrol the beat and go head-to-head with the city's street crimes. And there's the Intelligence Unit, the team that combats the city's major offenses - organized crime, drug trafficking, high profile murders and beyond.","Action ,Crime ,Drama ,Thriller",TV-14
Prodigal Son,"Malcolm Bright, one of the best criminal psychologists around, uses his twisted genius to help the NYPD solve crimes.","Crime ,Drama ,Mystery ,Thriller",TV-14
L.A.'s Finest,"The spinoff series of Bad Boys films focuses on drug enforcement agent Sydney Burnett, now working for the Los Angeles Police Department.","Action ,Comedy ,Crime ,Drama ,Thriller",TV-14
House M.D.,"The series follows the life of anti-social, pain killer addict, witty and arrogant medical doctor Gregory House (Hugh Laurie) with only half a muscle in his right leg. He and his team of medical doctors try to cure complex and rare diseases from very ill ordinary people in the United States of America.","Drama ,Mystery",TV-14
Imposters,"Con artist Maddie is as beautiful as she is dangerous. Over the years, she has left a trail of unwitting victims who become tormented upon realizing that they have been used and robbed of everything -- including their hearts. Her latest assignment threatens to be derailed, though, when she meets Patrick, a potential love interest. Further complicating Maddie's work are three former targets -- Ezra, Richard and Jules -- who realize they have been scammed by the same woman and team up to track her down. When the victims choose to embark on the quest, they don't realize that they must face their own truths and find new versions of themselves along the way.","Comedy ,Crime ,Drama ,Mystery",TV-14
Hawaii Five-0,"Steve McGarrett (Alex O'Loughlin) comes to Hawaii to avenge his father's death, but when the Governor offers his own task force, he accepts. He picks up team members on the way, Danny Williams (Scott Caan), the head detective on his father's case, Chin Ho Kelly (Daniel Dae Kim), a former Honolulu Police Department Detective who was fired for accused corruption, and McGarrett's father's old patrol partner, Kono Kalakaua (Grace Park), a Cadet at the Police Academy who's one week from graduating, Lori Weston (Lauren German), entry to Five-O temporarily, Catharine Rollins (Michelle Borth), a girlfriend of Steve, and Captain Lou Grover (Chi McBride), a former Chicago Police Department Head of S.W.A.T.","Action ,Crime ,Drama",TV-14
Sherlock,"In this modernized version of the Conan Doyle characters, using his detective plots, Sherlock Holmes lives in early 21st century London and acts more cocky towards Scotland Yard's detective inspector Lestrade because he's actually less confident. Doctor Watson is now a fairly young veteran of the Afghan war, less adoring and more active.","Crime ,Drama ,Mystery ,Thriller",TV-14
The Flash,"Barry Allen is a Central City police forensic scientist with a reasonably happy life, despite the childhood trauma of a mysterious red and yellow lightning killing his mother and framing his father. All that changes when a massive particle accelerator accident leads to Barry being struck by lightning in his lab. Coming out of coma nine months later, Barry and his new friends at S.T.A.R labs find that he now has the ability to move at superhuman speed. Furthermore, Barry learns that he is but one of many affected by that event, most of whom are using their powers for evil. Determined to make a difference, Barry dedicates his life to fighting such threats, as The Flash. While he gains allies he never expected, there are also secret forces determined to aid and manipulate him for their own agenda.","Action ,Adventure ,Drama ,Sci-Fi",TV-PG
Zoey's Extraordinary Playlist,A young woman discovers she has the ability to hear the innermost thoughts of people around her as songs and musical numbers.,"Comedy ,Drama ,Musical",TV-14
